,test_accuracy,test_log_loss,test_auc,test_aupcr,test_balanced_accuracy,test_f1,test_precision,test_recall,test_mcc,test_FP,test_TN,test_FN,test_TP
Logistic_Regression,0.977,0.268,0.543,0.011,0.543,0.046,0.03,0.104,0.046,10166.0,551531.0,2659.0,310.0
Gaussian_NB,0.969,0.608,0.544,0.007,0.544,0.037,0.022,0.114,0.039,14725.0,546972.0,2632.0,337.0
Bernoulli_NB,0.969,0.275,0.544,0.008,0.544,0.037,0.022,0.114,0.039,14725.0,546972.0,2632.0,337.0
Decision_Tree,0.978,0.267,0.544,0.013,0.544,0.048,0.031,0.104,0.048,9723.0,551974.0,2659.0,310.0
Random_Forest,0.978,0.267,0.544,0.012,0.544,0.048,0.031,0.104,0.048,9723.0,551974.0,2659.0,310.0
Extra_Trees_Classifier,0.978,0.267,0.544,0.013,0.544,0.048,0.031,0.104,0.048,9648.0,552049.0,2659.0,310.0
Ada_Boost,0.977,0.681,0.543,0.012,0.543,0.046,0.03,0.104,0.046,10162.0,551535.0,2659.0,310.0
Gradient_Boosting,0.979,0.267,0.544,0.013,0.544,0.049,0.032,0.104,0.049,9470.0,552227.0,2659.0,310.0
LightGBM,0.978,0.267,0.544,0.013,0.544,0.048,0.031,0.104,0.048,9736.0,551961.0,2659.0,310.0
Hist_GB,0.978,0.267,0.544,0.013,0.544,0.048,0.031,0.104,0.048,9666.0,552031.0,2659.0,310.0
XGBoost,0.978,0.267,0.544,0.013,0.544,0.048,0.031,0.104,0.048,9651.0,552046.0,2659.0,310.0
