,accuracy_CI_lower,accuracy_CI_upper,log_loss_CI_lower,log_loss_CI_upper,auc_CI_lower,auc_CI_upper,aupcr_CI_lower,aupcr_CI_upper,balanced_accuracy_CI_lower,balanced_accuracy_CI_upper,f1_CI_lower,f1_CI_upper,precision_CI_lower,precision_CI_upper,recall_CI_lower,recall_CI_upper,mcc_CI_lower,mcc_CI_upper
Logistic_Regression,0.977,0.978,0.268,0.269,0.538,0.548,0.009,0.013,0.538,0.548,0.042,0.051,0.027,0.033,0.094,0.115,0.041,0.053
Gaussian_NB,0.969,0.97,0.598,0.618,0.538,0.549,0.006,0.007,0.538,0.549,0.034,0.041,0.02,0.024,0.103,0.123,0.034,0.044
Bernoulli_NB,0.969,0.97,0.274,0.276,0.538,0.549,0.007,0.008,0.538,0.549,0.034,0.041,0.02,0.024,0.103,0.123,0.034,0.044
Decision_Tree,0.978,0.978,0.267,0.268,0.539,0.549,0.011,0.015,0.539,0.549,0.043,0.053,0.028,0.034,0.095,0.115,0.042,0.054
Random_Forest,0.978,0.978,0.267,0.268,0.539,0.549,0.01,0.014,0.539,0.549,0.043,0.053,0.028,0.034,0.095,0.115,0.042,0.054
Extra_Trees_Classifier,0.978,0.979,0.267,0.268,0.539,0.549,0.011,0.015,0.539,0.549,0.043,0.053,0.028,0.034,0.095,0.115,0.043,0.054
Ada_Boost,0.977,0.978,0.681,0.681,0.538,0.548,0.01,0.015,0.538,0.548,0.042,0.051,0.027,0.033,0.094,0.115,0.041,0.053
Gradient_Boosting,0.978,0.979,0.267,0.268,0.539,0.549,0.011,0.016,0.539,0.549,0.044,0.054,0.028,0.035,0.095,0.115,0.043,0.055
LightGBM,0.978,0.978,0.267,0.268,0.539,0.549,0.011,0.016,0.539,0.549,0.043,0.053,0.028,0.034,0.095,0.115,0.042,0.054
Hist_GB,0.978,0.979,0.267,0.268,0.539,0.549,0.011,0.016,0.539,0.549,0.043,0.053,0.028,0.034,0.095,0.115,0.043,0.054
XGBoost,0.978,0.979,0.267,0.268,0.539,0.549,0.011,0.016,0.539,0.549,0.043,0.053,0.028,0.034,0.095,0.115,0.043,0.054
