,test_accuracy,test_log_loss,test_auc,test_aupcr,test_balanced_accuracy,test_f1,test_precision,test_recall,test_mcc,test_FP,test_TN,test_FN,test_TP
Logistic_Regression,0.827,0.484,0.734,0.078,0.734,0.037,0.019,0.64,0.089,96722.0,464972.0,1069.0,1900.0
Gaussian_NB,0.885,1.959,0.851,0.075,0.851,0.07,0.036,0.816,0.157,64230.0,497464.0,545.0,2424.0
Bernoulli_NB,0.839,0.558,0.82,0.441,0.82,0.05,0.026,0.8,0.125,90066.0,471628.0,595.0,2374.0
Decision_Tree,0.804,6.256,0.851,0.023,0.851,0.046,0.024,0.898,0.127,110505.0,451189.0,302.0,2667.0
Random_Forest,0.819,2.003,0.86,0.056,0.86,0.05,0.026,0.901,0.134,102044.0,459650.0,293.0,2676.0
Extra_Trees_Classifier,0.932,1.718,0.915,0.06,0.915,0.123,0.066,0.898,0.233,37829.0,523865.0,304.0,2665.0
Ada_Boost,0.839,0.679,0.723,0.098,0.723,0.038,0.02,0.606,0.087,89895.0,471799.0,1171.0,1798.0
Gradient_Boosting,0.86,0.351,0.827,0.08,0.827,0.056,0.029,0.793,0.135,78556.0,483138.0,614.0,2355.0
LightGBM,0.87,0.411,0.854,0.071,0.854,0.063,0.033,0.837,0.15,73101.0,488593.0,483.0,2486.0
Hist_GB,0.872,0.418,0.854,0.07,0.854,0.064,0.033,0.837,0.151,72022.0,489672.0,484.0,2485.0
XGBoost,0.861,0.509,0.869,0.079,0.869,0.062,0.032,0.877,0.152,78192.0,483502.0,366.0,2603.0
