,accuracy_CI_lower,accuracy_CI_upper,log_loss_CI_lower,log_loss_CI_upper,auc_CI_lower,auc_CI_upper,aupcr_CI_lower,aupcr_CI_upper,balanced_accuracy_CI_lower,balanced_accuracy_CI_upper,f1_CI_lower,f1_CI_upper,precision_CI_lower,precision_CI_upper,recall_CI_lower,recall_CI_upper,mcc_CI_lower,mcc_CI_upper
Logistic_Regression,0.826,0.828,0.482,0.486,0.727,0.743,0.071,0.086,0.727,0.743,0.036,0.039,0.018,0.02,0.626,0.657,0.086,0.092
Gaussian_NB,0.884,0.886,1.944,1.977,0.843,0.859,0.07,0.078,0.843,0.859,0.067,0.072,0.035,0.037,0.8,0.831,0.152,0.161
Bernoulli_NB,0.838,0.841,0.554,0.562,0.813,0.826,0.424,0.46,0.813,0.826,0.048,0.051,0.025,0.026,0.787,0.812,0.121,0.128
Decision_Tree,0.803,0.805,6.225,6.291,0.846,0.855,0.022,0.023,0.846,0.855,0.044,0.047,0.023,0.024,0.889,0.907,0.124,0.129
Random_Forest,0.818,0.82,1.98,2.021,0.855,0.864,0.053,0.058,0.855,0.864,0.048,0.051,0.024,0.026,0.892,0.91,0.13,0.136
Extra_Trees_Classifier,0.932,0.933,1.7,1.736,0.91,0.92,0.057,0.063,0.91,0.92,0.118,0.126,0.063,0.068,0.888,0.907,0.227,0.237
Ada_Boost,0.838,0.84,0.679,0.679,0.716,0.731,0.089,0.108,0.716,0.731,0.036,0.039,0.019,0.02,0.592,0.621,0.084,0.09
Gradient_Boosting,0.859,0.861,0.349,0.352,0.819,0.834,0.075,0.085,0.819,0.834,0.054,0.058,0.028,0.03,0.779,0.808,0.131,0.138
LightGBM,0.869,0.871,0.409,0.414,0.847,0.86,0.065,0.076,0.847,0.86,0.061,0.065,0.031,0.034,0.824,0.849,0.146,0.153
Hist_GB,0.871,0.872,0.416,0.421,0.847,0.861,0.065,0.076,0.847,0.861,0.061,0.066,0.032,0.034,0.822,0.849,0.147,0.154
XGBoost,0.86,0.862,0.506,0.512,0.863,0.874,0.072,0.087,0.863,0.874,0.06,0.064,0.031,0.033,0.865,0.887,0.149,0.155
