,test_accuracy,test_log_loss,test_auc,test_aupcr,test_balanced_accuracy,test_f1,test_precision,test_recall,test_mcc,test_FP,test_TN,test_FN,test_TP
Logistic_Regression,0.786,0.511,0.656,0.472,0.656,0.483,0.65,0.384,0.379,43542.0,553521.0,129234.0,80705.0
Gaussian_NB,0.782,1.451,0.657,0.438,0.657,0.486,0.628,0.397,0.372,49482.0,547581.0,126555.0,83384.0
Bernoulli_NB,0.781,0.526,0.658,0.468,0.658,0.488,0.624,0.401,0.371,50669.0,546394.0,125816.0,84123.0
Decision_Tree,0.796,0.5,0.658,0.502,0.658,0.487,0.705,0.372,0.404,32651.0,564412.0,131922.0,78017.0
Random_Forest,0.796,0.5,0.658,0.502,0.658,0.487,0.705,0.372,0.404,32650.0,564413.0,131922.0,78017.0
Extra_Trees_Classifier,0.796,0.5,0.658,0.503,0.658,0.487,0.705,0.372,0.404,32622.0,564441.0,131931.0,78008.0
Ada_Boost,0.786,0.686,0.656,0.471,0.656,0.483,0.65,0.384,0.379,43540.0,553523.0,129250.0,80689.0
Gradient_Boosting,0.795,0.502,0.658,0.492,0.658,0.485,0.7,0.372,0.401,33495.0,563568.0,131909.0,78030.0
LightGBM,0.796,0.498,0.658,0.502,0.658,0.487,0.705,0.372,0.404,32659.0,564404.0,131921.0,78018.0
Hist_GB,0.796,0.498,0.658,0.502,0.658,0.487,0.705,0.372,0.404,32681.0,564382.0,131935.0,78004.0
XGBoost,0.796,0.498,0.658,0.502,0.658,0.487,0.705,0.372,0.404,32636.0,564427.0,131922.0,78017.0
