,accuracy_CI_lower,accuracy_CI_upper,log_loss_CI_lower,log_loss_CI_upper,auc_CI_lower,auc_CI_upper,aupcr_CI_lower,aupcr_CI_upper,balanced_accuracy_CI_lower,balanced_accuracy_CI_upper,f1_CI_lower,f1_CI_upper,precision_CI_lower,precision_CI_upper,recall_CI_lower,recall_CI_upper,mcc_CI_lower,mcc_CI_upper
Logistic_Regression,0.785,0.787,0.509,0.512,0.655,0.657,0.47,0.474,0.655,0.657,0.481,0.485,0.647,0.652,0.382,0.386,0.377,0.381
Gaussian_NB,0.781,0.783,1.444,1.46,0.656,0.658,0.435,0.44,0.656,0.658,0.484,0.488,0.625,0.63,0.395,0.399,0.37,0.374
Bernoulli_NB,0.78,0.782,0.525,0.527,0.657,0.659,0.466,0.47,0.657,0.659,0.486,0.49,0.622,0.627,0.399,0.402,0.369,0.374
Decision_Tree,0.795,0.797,0.499,0.501,0.657,0.659,0.5,0.504,0.657,0.659,0.485,0.489,0.702,0.708,0.37,0.373,0.402,0.406
Random_Forest,0.795,0.797,0.499,0.501,0.657,0.659,0.501,0.504,0.657,0.659,0.485,0.489,0.702,0.708,0.37,0.373,0.402,0.406
Extra_Trees_Classifier,0.795,0.797,0.499,0.501,0.657,0.659,0.501,0.504,0.657,0.659,0.485,0.489,0.702,0.708,0.37,0.373,0.402,0.406
Ada_Boost,0.785,0.787,0.686,0.686,0.655,0.657,0.469,0.473,0.655,0.657,0.481,0.485,0.647,0.652,0.382,0.386,0.377,0.381
Gradient_Boosting,0.794,0.796,0.501,0.503,0.657,0.659,0.491,0.494,0.657,0.659,0.483,0.487,0.697,0.702,0.37,0.374,0.399,0.403
LightGBM,0.795,0.797,0.497,0.499,0.657,0.659,0.5,0.504,0.657,0.659,0.485,0.489,0.702,0.708,0.37,0.373,0.402,0.406
Hist_GB,0.795,0.797,0.497,0.5,0.657,0.659,0.5,0.504,0.657,0.659,0.485,0.489,0.702,0.708,0.37,0.373,0.402,0.406
XGBoost,0.795,0.797,0.497,0.499,0.657,0.659,0.5,0.504,0.657,0.659,0.485,0.489,0.702,0.708,0.37,0.373,0.402,0.406
