,test_accuracy,test_log_loss,test_auc,test_aupcr,test_balanced_accuracy,test_f1,test_precision,test_recall,test_mcc,test_FP,test_TN,test_FN,test_TP
Logistic_Regression,0.816,0.458,0.808,0.749,0.808,0.688,0.61,0.791,0.57,104734.0,491332.0,43256.0,163491.0
Gaussian_NB,0.853,2.732,0.832,0.702,0.832,0.735,0.688,0.789,0.637,74182.0,521884.0,43546.0,163201.0
Bernoulli_NB,0.827,0.699,0.822,0.791,0.822,0.708,0.628,0.812,0.598,99639.0,496427.0,38880.0,167867.0
Decision_Tree,0.8,5.495,0.815,0.53,0.815,0.685,0.576,0.844,0.568,128287.0,467779.0,32190.0,174557.0
Random_Forest,0.82,1.635,0.833,0.729,0.833,0.711,0.605,0.862,0.605,116170.0,479896.0,28597.0,178150.0
Extra_Trees_Classifier,0.907,1.23,0.898,0.8,0.898,0.83,0.784,0.881,0.768,50289.0,545777.0,24566.0,182181.0
Ada_Boost,0.826,0.671,0.816,0.755,0.816,0.702,0.628,0.796,0.59,97437.0,498629.0,42172.0,164575.0
Gradient_Boosting,0.848,0.359,0.84,0.833,0.84,0.735,0.665,0.823,0.637,85809.0,510257.0,36590.0,170157.0
LightGBM,0.863,0.372,0.864,0.827,0.864,0.765,0.685,0.867,0.68,82342.0,513724.0,27522.0,179225.0
Hist_GB,0.862,0.376,0.864,0.818,0.864,0.765,0.683,0.868,0.679,83247.0,512819.0,27212.0,179535.0
XGBoost,0.854,0.434,0.86,0.786,0.86,0.755,0.665,0.872,0.665,90874.0,505192.0,26429.0,180318.0
