,accuracy_CI_lower,accuracy_CI_upper,log_loss_CI_lower,log_loss_CI_upper,auc_CI_lower,auc_CI_upper,aupcr_CI_lower,aupcr_CI_upper,balanced_accuracy_CI_lower,balanced_accuracy_CI_upper,f1_CI_lower,f1_CI_upper,precision_CI_lower,precision_CI_upper,recall_CI_lower,recall_CI_upper,mcc_CI_lower,mcc_CI_upper
Logistic_Regression,0.815,0.817,0.456,0.46,0.806,0.809,0.747,0.751,0.806,0.809,0.687,0.691,0.608,0.612,0.789,0.793,0.568,0.573
Gaussian_NB,0.853,0.854,2.713,2.752,0.831,0.834,0.7,0.704,0.831,0.834,0.733,0.737,0.685,0.69,0.788,0.792,0.635,0.639
Bernoulli_NB,0.827,0.828,0.695,0.704,0.821,0.824,0.79,0.793,0.821,0.824,0.706,0.71,0.626,0.63,0.81,0.814,0.596,0.6
Decision_Tree,0.799,0.801,5.468,5.521,0.813,0.816,0.528,0.531,0.813,0.816,0.684,0.687,0.575,0.578,0.842,0.846,0.566,0.57
Random_Forest,0.819,0.821,1.623,1.652,0.832,0.834,0.727,0.731,0.832,0.834,0.71,0.713,0.604,0.607,0.86,0.863,0.603,0.607
Extra_Trees_Classifier,0.906,0.907,1.215,1.242,0.898,0.899,0.798,0.802,0.898,0.899,0.828,0.831,0.782,0.786,0.88,0.883,0.767,0.77
Ada_Boost,0.825,0.827,0.671,0.671,0.815,0.818,0.754,0.758,0.815,0.818,0.701,0.704,0.627,0.63,0.794,0.798,0.588,0.592
Gradient_Boosting,0.847,0.848,0.358,0.361,0.839,0.841,0.831,0.834,0.839,0.841,0.734,0.737,0.663,0.667,0.821,0.824,0.635,0.639
LightGBM,0.862,0.864,0.37,0.374,0.863,0.866,0.825,0.828,0.863,0.866,0.764,0.767,0.683,0.687,0.865,0.869,0.678,0.682
Hist_GB,0.862,0.863,0.375,0.378,0.863,0.865,0.817,0.82,0.863,0.865,0.763,0.766,0.681,0.685,0.867,0.87,0.677,0.681
XGBoost,0.853,0.855,0.432,0.437,0.859,0.861,0.784,0.788,0.859,0.861,0.753,0.756,0.663,0.667,0.87,0.874,0.663,0.668
