,accuracy,roc_auc,f1,balanced_accuracy,precision,recall,neg_log_loss,mcc,aupcr
Logistic_Regression,0.7681192467385636,0.6690025855208197,0.5118353921543819,0.6644654759714208,0.6881490178198105,0.4074463500571938,-0.5357524923197768,0.394619209645248,0.45717800420443133
Gaussian_NB,0.7655026288309581,0.6622060830613427,0.516956849309635,0.6663748421722187,0.6706476603770776,0.4205783121981128,-1.4529498289018747,0.39037641275484575,0.4549352196343218
Bernoulli_NB,0.765291397171287,0.6683165754622757,0.5179067888655946,0.6667942167182342,0.668826756814805,0.4225613333656771,-0.5518723118845168,0.39024566615642486,0.4549040853619671
Decision_Tree,0.7794998694250583,0.7035759492134681,0.5177799202093724,0.6695106100445269,0.7449667406939174,0.39678205266252164,-0.5190377319491432,0.42428370703543583,0.4755647489919117
Random_Forest,0.7795005163758979,0.7035686101999565,0.5178196199801716,0.6695288317316946,0.7449125636720353,0.39684385256323973,-0.5186313768403091,0.4242899866523671,0.47557095829806156
Extra_Trees_Classifier,0.7795053685568996,0.7035769728536921,0.5177882049639382,0.6695154635673388,0.7449895685555764,0.39678530531207573,-0.5190002836258263,0.42429972374279473,0.47557524048908356
Ada_Boost,0.7681030728132278,0.6715128482209933,0.5117647496143647,0.6644290229464644,0.6881410987943322,0.4073596131471735,-0.6863052209667528,0.39456294260631064,0.4571409744448552
Gradient_Boosting,0.7784349781405574,0.6940063939223229,0.5159087249225675,0.6684460886949828,0.7409904650343059,0.39571844442800613,-0.5254605000876139,0.4211666735243585,0.47351523932897144
LightGBM,0.7794714033369765,0.7035435139075312,0.5177272842797231,0.6694809772097983,0.7448632026088978,0.3967495266665652,-0.5185556596358489,0.4241997415883039,0.475509151152318
Hist_GB,0.7794613755126335,0.7034738434057678,0.5177338924414898,0.6694819326896755,0.7447908937768468,0.3967777161197102,-0.5185744705536961,0.42417332244956774,0.475492982485949
XGBoost,0.7794866068229729,0.7035694019108837,0.5177717166912603,0.6695042747426093,0.7448951842785586,0.39679289459260325,-0.5185040907916136,0.4242466777232575,0.475541002571296
