,accuracy,roc_auc,f1,balanced_accuracy,precision,recall,neg_log_loss,mcc,aupcr
Logistic_Regression,0.8925664266391016,0.9518060870358878,0.8116994265531973,0.8590974828805699,0.8507144771401904,0.7761082048085002,-0.24930541921645977,0.7382833474294103,0.727045470242843
Gaussian_NB,0.8674886298484091,0.9046251079457273,0.7708448250838086,0.8328636371631956,0.7962747644101822,0.7470078334643427,-2.587256693073801,0.6784678588059124,0.6703004832433851
Bernoulli_NB,0.8444616970862415,0.9151898983373754,0.7458380823094859,0.821598508754028,0.7276993205498177,0.764907163960643,-0.6742049778432094,0.6342924247962078,0.6267632530665604
Decision_Tree,0.9641089088953614,0.9878681454223823,0.9391790777661798,0.9539600870499051,0.9498004240099902,0.9287951643943296,-0.27093595342987725,0.9138431230545743,0.9034137180628886
Random_Forest,0.9645938056390299,0.9928449801941981,0.9400184090493869,0.9546222078860401,0.9503655840569566,0.9298967283766569,-0.12197844058571553,0.9150172267660948,0.9046567676868993
Extra_Trees_Classifier,0.964945428547733,0.9921043895373549,0.9403938314894386,0.9539922156146636,0.9543601615945554,0.9268327324966796,-0.14741839438029125,0.9157712637148702,0.9063617290571446
Ada_Boost,0.8891941460078746,0.9478844519360166,0.8069757848021417,0.8567607318345861,0.8401336283947812,0.7763391429268425,-0.5731086371418856,0.7305589289876001,0.7189605200814465
Gradient_Boosting,0.8964937987294626,0.9580103182349469,0.821038476806288,0.8675624875519339,0.8479191943862415,0.7958246821890331,-0.24335417709782994,0.7490848820693672,0.7357091207699301
LightGBM,0.9321882134486883,0.9794323047177899,0.8823909193817744,0.9093277173156212,0.9142976933338115,0.8526430488168488,-0.16920069602613608,0.8358398159118811,0.8235334245458072
Hist_GB,0.9324117388694643,0.979446561074942,0.8827984724529562,0.9096421774769939,0.9145515177956941,0.853182988642832,-0.16911232120871283,0.8363904544872446,0.8240827775412545
XGBoost,0.9386930754539731,0.9826141032052391,0.8940374381374654,0.9180568573002899,0.9229565309934309,0.8668874854308406,-0.15387442970039694,0.8517996116241983,0.8398142195432093
