,accuracy_CI_lower,accuracy_CI_upper,log_loss_CI_lower,log_loss_CI_upper,auc_CI_lower,auc_CI_upper,aupcr_CI_lower,aupcr_CI_upper,balanced_accuracy_CI_lower,balanced_accuracy_CI_upper,f1_CI_lower,f1_CI_upper,precision_CI_lower,precision_CI_upper,recall_CI_lower,recall_CI_upper,mcc_CI_lower,mcc_CI_upper
Logistic_Regression,0.661,0.663,0.682,0.684,0.552,0.553,0.415,0.418,0.552,0.553,0.223,0.227,0.732,0.74,0.132,0.134,0.201,0.205
Gaussian_NB,0.661,0.663,1.941,1.959,0.556,0.557,0.441,0.444,0.556,0.557,0.246,0.25,0.695,0.702,0.149,0.152,0.198,0.203
Bernoulli_NB,0.661,0.663,0.686,0.689,0.556,0.557,0.45,0.453,0.556,0.557,0.246,0.25,0.696,0.702,0.15,0.152,0.198,0.203
Decision_Tree,0.664,0.666,0.677,0.68,0.555,0.556,0.46,0.463,0.555,0.556,0.231,0.235,0.751,0.759,0.137,0.139,0.212,0.217
Random_Forest,0.664,0.666,0.677,0.68,0.555,0.556,0.46,0.463,0.555,0.556,0.231,0.235,0.751,0.759,0.137,0.139,0.212,0.217
Extra_Trees_Classifier,0.664,0.666,0.677,0.68,0.555,0.556,0.459,0.462,0.555,0.556,0.231,0.235,0.751,0.759,0.136,0.139,0.212,0.217
Ada_Boost,0.661,0.663,0.689,0.689,0.552,0.553,0.408,0.41,0.552,0.553,0.223,0.227,0.733,0.741,0.132,0.134,0.201,0.205
Gradient_Boosting,0.663,0.665,0.675,0.678,0.555,0.556,0.469,0.472,0.555,0.556,0.231,0.235,0.751,0.758,0.136,0.139,0.212,0.216
LightGBM,0.664,0.666,0.676,0.678,0.555,0.556,0.46,0.462,0.555,0.556,0.231,0.235,0.751,0.759,0.137,0.139,0.212,0.217
Hist_GB,0.664,0.666,0.676,0.678,0.555,0.556,0.459,0.462,0.555,0.556,0.231,0.235,0.751,0.759,0.136,0.139,0.212,0.217
XGBoost,0.664,0.666,0.676,0.678,0.555,0.556,0.459,0.462,0.555,0.556,0.231,0.235,0.751,0.759,0.136,0.139,0.212,0.217
