,test_accuracy,test_log_loss,test_auc,test_aupcr,test_balanced_accuracy,test_f1,test_precision,test_recall,test_mcc,test_FP,test_TN,test_FN,test_TP
Logistic_Regression,0.77,0.529,0.754,0.766,0.754,0.69,0.689,0.692,0.508,96627.0,430238.0,95429.0,213962.0
Gaussian_NB,0.815,3.544,0.794,0.762,0.794,0.741,0.768,0.715,0.598,66746.0,460119.0,88210.0,221181.0
Bernoulli_NB,0.821,0.766,0.811,0.839,0.811,0.762,0.749,0.775,0.619,80157.0,446708.0,69629.0,239762.0
Decision_Tree,0.761,6.498,0.753,0.599,0.753,0.691,0.664,0.721,0.498,113013.0,413852.0,86462.0,222929.0
Random_Forest,0.765,3.556,0.758,0.717,0.758,0.697,0.666,0.73,0.506,113068.0,413797.0,83656.0,225735.0
Extra_Trees_Classifier,0.823,3.428,0.8,0.741,0.8,0.748,0.791,0.71,0.614,58135.0,468730.0,89857.0,219534.0
Ada_Boost,0.773,0.669,0.757,0.774,0.757,0.694,0.694,0.693,0.514,94462.0,432403.0,94973.0,214418.0
Gradient_Boosting,0.792,0.457,0.773,0.807,0.773,0.713,0.727,0.7,0.55,81375.0,445490.0,92918.0,216473.0
LightGBM,0.799,0.557,0.785,0.794,0.785,0.729,0.728,0.73,0.57,84421.0,442444.0,83384.0,226007.0
Hist_GB,0.802,0.562,0.788,0.792,0.788,0.732,0.732,0.732,0.575,82789.0,444076.0,82801.0,226590.0
XGBoost,0.795,0.648,0.783,0.766,0.783,0.727,0.718,0.736,0.563,89570.0,437295.0,81563.0,227828.0
