,accuracy_CI_lower,accuracy_CI_upper,log_loss_CI_lower,log_loss_CI_upper,auc_CI_lower,auc_CI_upper,aupcr_CI_lower,aupcr_CI_upper,balanced_accuracy_CI_lower,balanced_accuracy_CI_upper,f1_CI_lower,f1_CI_upper,precision_CI_lower,precision_CI_upper,recall_CI_lower,recall_CI_upper,mcc_CI_lower,mcc_CI_upper
Logistic_Regression,0.769,0.771,0.527,0.53,0.753,0.755,0.765,0.768,0.753,0.755,0.689,0.692,0.687,0.691,0.69,0.693,0.506,0.51
Gaussian_NB,0.814,0.816,3.524,3.564,0.793,0.795,0.76,0.763,0.793,0.795,0.739,0.742,0.767,0.77,0.713,0.716,0.596,0.6
Bernoulli_NB,0.82,0.822,0.761,0.77,0.811,0.812,0.838,0.84,0.811,0.812,0.761,0.763,0.748,0.751,0.773,0.776,0.617,0.62
Decision_Tree,0.76,0.762,6.471,6.526,0.752,0.754,0.598,0.601,0.752,0.754,0.689,0.692,0.662,0.665,0.719,0.722,0.496,0.5
Random_Forest,0.764,0.766,3.536,3.579,0.757,0.759,0.715,0.719,0.757,0.759,0.695,0.698,0.665,0.668,0.728,0.731,0.505,0.509
Extra_Trees_Classifier,0.822,0.824,3.402,3.448,0.799,0.801,0.74,0.743,0.799,0.801,0.747,0.75,0.789,0.792,0.708,0.711,0.612,0.617
Ada_Boost,0.773,0.774,0.669,0.669,0.756,0.758,0.773,0.776,0.756,0.758,0.692,0.695,0.692,0.696,0.691,0.695,0.512,0.516
Gradient_Boosting,0.791,0.792,0.456,0.458,0.772,0.774,0.806,0.808,0.772,0.774,0.712,0.714,0.725,0.729,0.698,0.701,0.548,0.552
LightGBM,0.798,0.8,0.555,0.559,0.784,0.786,0.793,0.795,0.784,0.786,0.728,0.731,0.727,0.73,0.729,0.732,0.568,0.572
Hist_GB,0.801,0.803,0.56,0.564,0.787,0.789,0.791,0.794,0.787,0.789,0.731,0.734,0.731,0.734,0.731,0.734,0.573,0.577
XGBoost,0.794,0.796,0.646,0.652,0.782,0.784,0.764,0.767,0.782,0.784,0.726,0.728,0.716,0.719,0.735,0.738,0.561,0.565
